	ySGObjectType:2 ID:9 ObjectState:1 PosX:ee PosY:0--- Area:0 Width:e Height:e- Orientation:eeeeY
ObjectType:1 ID:0 ObjectState:1 PosX:. PosY:.8 Area:. Width:e Height:ee Orientation:eh
ObjectType:0 ID:2 ObjectState:2 PosX:98ee PosY:e Area:- Width:. Height:e Orientation:..
ObjectType:2 ID:721 ObjectState:3 PosX:. PosY:e Area:9- Width:e- Height:ee Orientation:e
ObjectType:1 ID:8 ObjectState:2 PosX:e PosY:.e0 Area:e- Width:---e Height:. Orientation:e[G=
ObjectType:3 ID:8 ObjectState:3 PosX:e PosY:ee9 Area:2- Width:e Height:e Orientation:e
ObjectType:4 ID:9 ObjectState:3 PosX:eee6 PosY:eee Area:1 Width:-e.-8 Height:e8 Orientation:8i
|ObjectType:4 ID:9 ObjectState:0 PosX:e PosY:e1 Area:e9 Width:9e Height:ee Orientation:e.
xObjectType:5 ID:8 ObjectState:2 PosX:8- PosY:e Area:2 Width:8 Height:8 Orientation:ee[
ObjectType:4 ID:8398 ObjectState:1 PosX:ee PosY:-9. Area:e6 Width:e. Height:e Orientation:-C
ObjectType:0 ID:4 ObjectState:3 PosX:e PosY:e Area:2-9e Width:4e Height:7 Orientation:eeew9:
ObjectType:5 ID:8 ObjectState:0 PosX:e2 PosY:e- Area:e Width:e Height:e Orientation:e9e0
ObjectType:4 ID:402 ObjectState:0 PosX:e PosY:e Area:ee Width:e Height:- Orientation:9MH1
ObjectType:4 ID:0 ObjectState:2 PosX:- PosY:e- Area:7- Width:9 Height:e Orientation:.
ObjectType:3 ID:98 ObjectState:0 PosX:. PosY:e9e Area:. Width:. Height:4 Orientation:eee.
ObjectType:5 ID:8 ObjectState:0 PosX:e PosY:e Area:e Width:e Height:805ee Orientation:4.-e
ObjectType:4 ID:689 ObjectState:0 PosX:.e9 PosY:5e Area:9-2 Width:e Height:-4 Orientation:ees3
?ObjectType:1 ID:9 ObjectState:1 PosX:ee PosY:.2 Area:e- Width:.82 Height:0e9 Orientation:e]2$YY
fObjectType:5 ID:2 ObjectState:1 PosX:eeee PosY:3 Area:ee Width:e.e. Height:e17ee Orientation:0BJ
ObjectType:3 ID:7 ObjectState:1 PosX:e PosY:e Area:5 Width:9 Height:8e Orientation:eeg
ObjectType:1 ID:0 ObjectState:0 PosX:0eee PosY:..e0 Area:.e Width:e Height:e Orientation:0e-8
kObjectType:5 ID:93 ObjectState:2 PosX:91 PosY:. Area:7 Width:e Height:e Orientation:ej
ObjectType:4 ID:9 ObjectState:2 PosX:.e PosY:e. Area:- Width:ee89 Height:. Orientation:2.9
ObjectType:5 ID:76 ObjectState:2 PosX:8e99e-e PosY:ee Area:.8 Width:- Height:e Orientation:ee
ObjectType:3 ID:4 ObjectState:0 PosX:ee PosY:4e Area:eeeee Width:e Height:9. Orientation:-eq?
