r .z (5E,9DB) 7 BT 8 
0C (8,A) 9 QA 8 
86sZkO. (968,99) 9 AY 3 
. (9,E9) 6 XO 9 
6 (E89C,99) 5 XA 8 
6JQx (268E,26F) 9 VK 3 
m (A,D9) 8 ZA 5 I?
6Z. (1,0) 9 JQ 7 2
4>od_ (86,6) 6 ZS 4 e
A (A8,6F) 1 IK 3 
Bi_Az (A,D8387) 3 SA 6 
9fT (8,DA) 2 KN 8 n
_ (BD,B8) 1 JZ 9 
  (892,E5A0) 8 KP 8 
p y (B,B) 8 CV 8 l
. (A5C8CE,BE) 4 AB 9 )
L (F,9215) 8 HR 6 P
. (59A05,C) 9 XK 9 
d (A,7) 9 RS 3 f
rw1 (88,2994) 3 ZX 9 
d  (F1379,0) 8 QJ 1 [
  (9,A) 8 RB 9 
.4 (8D,BF) 7 KM 9 
2h7 (B,E) 9 AT 9 
f (0,8BC) 4 PJ 2 &rT
Z (E4,2C9) 1 DX 8 
C (B4F9B,9) 1 ZI 9 J
k (F9,B) 9 UK 8  Y
  (81,7A) 3 JX 8 
A (FE,8A12) 3 DZ 1 
2R (27F18,DA7) 7 RZ 8 
 Ws (FB,9) 0 RB 9 
  (89,CEC) 9 YG 4 P
> (B,89) 4 MF 8 i
t (8EA,9) 7 JV 9 
o (F,B9) 9 EI 2 
fb  (558,8) 9 ZC 9 P
s (8,C9F) 5 RR 4 %C/
1 (8F,C) 7 PJ 0 
z (1,649) 2 XO 5 ?
. u (9E9,EEBF) 5 JZ 7 
j (A4,8) 8 IY 7 
T (AF,B) 6 AC 5 
9v (49,F8C) 0 GP 8 
UUW (58FF,B) 9 HZ 4 
L (F,9) 8 DQ 7 
9 (38,AD) 8 FS 5 )5
ei (B1,8) 8 ZW 9 
 >p. (8,C) 1 IR 0 +6
9 (C9,2) 3 DX 7 BY#j<
RJ (3,8) 4 TL 0 
. (F,2) 6 AJ 9 /
. (8,8) 3 MI 9 .
>3 (2,8) 9 JN 8 
z (A,A) 8 ZU 3 
2 (1,4) 8 VT 9 >
7d (9DD,06) 6 VX 1 
. (F,0) 8 NP 8 C
0 (8,D) 8 OO 1 fNHg
z (AAA,C) 8 LR 5 
8 (82,D7D5) 0 PZ 9 
0 (8,D) 7 RY 2 |
e. (7,AD) 8 ZP 9 
 K>i (986D,8) 9 BI 6 
3 (F5,A) 9 AV 3 
8vs (A,91F5D) 4 GY 9 \0
z (9,A) 4 MU 1 
M (D,B) 9 QV 9 
.d (8A,28A) 7 SC 9 
3SW (96C,929) 8 ZL 8 
z (9,B) 2 IA 0 
i (E,8) 7 AQ 4 
> N (D2,8ECE6) 9 BL 9 ~o
k (4F,9) 1 HL 6 
m (D,1) 9 VG 0 
M (AA089,0) 3 OJ 3 
9 (6DA,8F) 9 XU 8 2
aPDsK (8,D9) 9 HR 8 ^
MW (F,9) 8 AZ 3 
_ (9,F81D9) 1 TT 8 
X  z (A,8CEF) 9 XE 5 
Yt (8,01AD) 9 ZZ 4 0R
v (F898,B9) 8 JM 1 
A (92D,1) 8 KT 8 
A (76F2,8) 1 BJ 1 ;S
. (25,2) 1 SY 8 
K (A,88) 9 BO 8 )%
jM  (AD9189D,8) 3 XQ 9 
S (A47,A) 8 YT 3 +Y
  (E,F) 7 UF 8 
_15> >i (A,4) 0 RZ 8 G
_ (5A,A) 0 CX 8 *
o (A8,FFC) 8 YK 8 
 > (C,9) 5 QZ 4 :u
q (9F8,A) 9 YY 5 
xs (98B49,9) 4 HW 8 
.  (58,C) 9 NM 8 `dul
5 (9,7D) 8 DB 2 
z (8,AD0F8) 9 TV 8 
z0 (F,A) 8 MY 7 2
.H.K (9,0381) 8 AO 2 
9  (A,F) 2 XZ 4 
.a (9,CE) 6 IP 8 ;3A
R (EE8,A) 8 HH 0 ~$x
9 (7,89) 0 IH 7 
G (9,D) 9 MW 9 
>9x.e (E0F3AD,2) 9 WI 4 
>> (B9AD,A) 9 RL 2 
. (99,15) 8 SL 3 
z (E1,0) 8 LK 2 
n>._ (A,E) 8 PI 8 
6 (0,9) 1 PC 8 
