 B 2xC (E2A,0)   
 #3#t          (E5, F9)   B:?
N)# (7, 8) 
Q (AA,E)    #sun
5 a (6E87D,98) 
C26   (C2CD6,E)   
  (F, E)   
0 (5F, 5E)  
4X       (8, 2) 
Z (54A, EC59B) 
3    (8, 9)    N
H  (CFE,1)  j
)  (FC,D)    
  (8F, AEA) 
z   (74A, CF9CFA)   $
_    (F, 9)  
0  (F, D) 0
,G# (919,F1) 
_ (F,5) 2
. (2F,AF) R
L (9,E) m/
z  (F,BB) 9
S  (9,9)   
 # (A,6) 
Zg     (A, A4)        
6 (4, 9F) 
tN (9, AF6) 
84 (A9C, 8)   A
3  (8F8, AF)    
/  (68F4E4C, 9)  kd
K8 (BB, D)     
   (6843,6F)   2
7./  (3FE6, 8)  1E
D   (7, A)  
az (C,8DE4) 
_  (A,8)  3zB
d   (C99FA, F)   <
n( (80, 88ED88CF)  t
O  (69, 1)  g
4jd (4B,85) 
T (4, CA8ED) H0<W
w  (F,5)   C
l-   (2,7)  
8  (7B, D9)  \e
WhN  (C, AD0) 
vA (3AF,9) OR
9 (B, 5)  p
Zp/Lv) (886, 4)  
2 (9,4C)  
8x (85, 3E)  
_ (D9,B5A) 
dZ)8,_#_708b (BE, DA48) ~'
  (8, F)  (S
U  (E, 6) mE=S
i (D, 3) 
1 (A2,FA) 0
y1#  (A, AE)  
2)  (AEE8B, 10) 
6)8A89  (BDD, FA)  @
9 (92, F)  
     (A59,E) y*==
8j     (C6,9)   Unk
f (2, E8) 
a   (8,05)  _r
R  (B, E8)  &
2    (9,D)       
f (C99,C70) J,
z (9, 1) &
4( (8, D) 
