INFO: writing frame 9 (..99% done)_2
INFO: writing frame 3 (8% done)
INFO: writing frame 9 (5% done)
INFO: writing frame 88339 (8% done)
INFO: writing frame 9 (8.% done)
INFO: writing frame 96 (18.% done))
INFO: writing frame 8 (..% done){
INFO: writing frame 5 (2% done)
INFO: writing frame 3 (.% done)k
INFO: writing frame 3 (8% done)
INFO: writing frame 9 (..78.% done)
INFO: writing frame 07 (.% done)
INFO: writing frame 913 (.5.% done)
INFO: writing frame 8 (.8.% done)!dx
INFO: writing frame 8 (9.% done)?4@
INFO: writing frame 8 (.% done)63
INFO: writing frame 9 (8% done)
INFO: writing frame 8831 (...% done)
INFO: writing frame 5 (8.% done)
INFO: writing frame 98 (3..9% done)C
INFO: writing frame 8 (.08..% done)y]
INFO: writing frame 7 (9.% done)B
INFO: writing frame 9 (8% done)c
INFO: writing frame 9 (.% done)
INFO: writing frame 98 (.8..% done)6
INFO: writing frame 589498 (.7% done)
INFO: writing frame 398 (3% done)\e
INFO: writing frame 9 (....% done)
INFO: writing frame 0 (.1% done)U
INFO: writing frame 94 (8% done)
INFO: writing frame 889 (1% done):l/
INFO: writing frame 8782996 (.% done){
INFO: writing frame 9 (.% done){N[+
INFO: writing frame 1 (5% done)\0\
INFO: writing frame 3 (2.% done)k
INFO: writing frame 9 (2..% done)
INFO: writing frame 6 (..9% done)
INFO: writing frame 83 (5.% done)
INFO: writing frame 3 (5% done)
INFO: writing frame 9 (6.% done)E
INFO: writing frame 81 (.1% done)i
INFO: writing frame 960 (.10% done)
INFO: writing frame 4 (8.% done)
INFO: writing frame 57499 (9% done))
INFO: writing frame 8525 (...9.% done)
INFO: writing frame 4 (0.% done)
INFO: writing frame 1 (.6% done)!iQ
INFO: writing frame 898 (98% done)
INFO: writing frame 4 (6% done)G
INFO: writing frame 738 (.% done)P]
INFO: writing frame 9 (92.% done)
INFO: writing frame 86 (.7.% done)
INFO: writing frame 19 (.% done)
INFO: writing frame 99 (.9% done)
INFO: writing frame 8 (.% done)'
INFO: writing frame 0 (.99% done)
INFO: writing frame 69988 (4% done)%
INFO: writing frame 4 (..% done)
INFO: writing frame 8699 (0% done)
INFO: writing frame 48 (4% done)pY9
INFO: writing frame 785 (8% done)7
INFO: writing frame 855 (8% done)
INFO: writing frame 59 (..90% done)RA/
INFO: writing frame 59 (8% done)d
INFO: writing frame 9885 (..% done)
INFO: writing frame 3 (.8% done)
INFO: writing frame 2 (9% done)
INFO: writing frame 13 (.% done)1
INFO: writing frame 7 (..9% done)
INFO: writing frame 809 (.% done)
INFO: writing frame 52 (7.88.% done))
INFO: writing frame 1 (.7.% done)
INFO: writing frame 9 (.6% done)
INFO: writing frame 2 (.% done)h/
INFO: writing frame 8 (69....% done)
INFO: writing frame 1 (899% done)*ml
INFO: writing frame 8 (9.% done)an
INFO: writing frame 8899 (8% done)
INFO: writing frame 95981 (093% done)
INFO: writing frame 6 (8.58% done)R
INFO: writing frame 58 (9.% done)
INFO: writing frame 989965 (9% done)T
INFO: writing frame 480 (4.% done)
INFO: writing frame 5 (52% done)
INFO: writing frame 88 (.2% done)B
INFO: writing frame 2 (7% done)
INFO: writing frame 83 (.% done)
INFO: writing frame 0 (...% done)
INFO: writing frame 81 (...% done)Z
INFO: writing frame 1 (.% done)B
INFO: writing frame 01829958 (.8% done)%
INFO: writing frame 9 (.8% done)
INFO: writing frame 3 (3% done)
INFO: writing frame 0 (3% done)(R
INFO: writing frame 5 (..% done)
INFO: writing frame 2 (..% done)U
INFO: writing frame 82 (.% done)
INFO: writing frame 88 (...% done)
INFO: writing frame 924 (..% done)\"N0
INFO: writing frame 5 (87.% done)	
INFO: writing frame 57 (.% done)9
INFO: writing frame 8828 (9% done)
INFO: writing frame 99 (.% done)
